Customer ID	Customer Code	Customer Name	Legal Name	Website	TAN Number	CST Number	PAN Number	GST Registration Type	GSTIN	Street Address	City	State	Pincode	Country	Contact Person Title	First Name	Last Name	Email	Phone	Notes	Active Status	Default Contact	created Date
314b04c1-3c1c-4ec4-bb2b-6e5fd827f413	CU/000160/1617	1FB SUPPORT SERVICES PVT LTD	1FB SUPPORT SERVICES PRIVATE LIMITED		BLRF01272F		AABCI5838A														true	false	2022-07-04
be09602f-2bdd-4217-b5e5-48849fe2623f	CU/000194/2021	24/7 CUSTOMER PRIVATE LIMITED	24/7 CUSTOMER PRIVATE LIMITED		HYDC01938G		AAACZ1014A														true	false	2022-07-04
50fd1bc3-468a-4337-92e4-a484bd21efa8	CU/000194/2021	24/7 CUSTOMER PRIVATE LIMITED	24/7 CUSTOMER PRIVATE LIMITED		BLRC01563C		AAACZ1014A														true	false	2022-07-04
253fd391-2bf5-4ba4-909d-5fbf32871ef2	CU/000211/1617	3QI LABS INDIA PVT LTD (MOBILE TESTING)	3QI LABS INDIA PVT LTD (MOBILE TESTING) ***		CHEQ03286D		AAACZ9774F														true	false	2022-07-04
e20ae5d9-e400-43ad-86e5-23fa68b1d34a	CU/000257/1920	A3LOGICS (INDIA) PVT LTD	A3LOGICS (INDIA) PRIVATE LIMITED		JPRA05579A		AAHCA9763A														true	false	2022-07-04
d890451a-5922-4042-8d20-1f8d3decee67	CU/000163/1617	AAKASH EDUCATIONAL SERVICES LTD	AAKASH EDUCATIONAL SERVICES LIMITED		DELA21650G		AAGCA6863Q														true	false	2022-07-04
073b1dc6-2ba9-45f4-9a18-fa672d1ba79f	CU/000267/1921	AAPC India Private Limited	AAPC INDIA PRIVATE LIMITED		DELA61698A		AAUCA9510E							INDIA							true	false	2022-07-04
b7b095d6-9820-4238-89ae-83ac3ecaa80e	CU/000267/1920	AAPC India Private Limited	AAPC INDIA LLP		DELA55693B		AAUCA9510E														true	false	2022-07-04
7520a36d-c2d9-4085-bc02-948b6a2a5637	CU/000027/1718	AAPNA INFOTHEEK PVT LTD	AAPNA INFOTHEEK PRIVATE LIMITED		DELA22709B		AAGCA7514E														true	false	2022-07-04
e3d18916-a78a-43d5-99a2-6b7669624514	CU/000008/1617	AARDE TECHNOSOFT PVT LTD	AARDE TECHNOSOFT PRIVATE LIMITED		KNPA03181D		AALCA6783C														true	false	2022-07-04
158a9132-3862-41c9-a1dd-2baa8c4d5157	CU/000163/2122	AASHIAAK PROCON PRIVATE LIMITED	AASHIAAK PROCON PRIVATE LIMITED		DELA61678B		AAUCA9445N							INDIA							true	false	2022-07-04
2f8c8db6-fe15-4eb6-98b0-2d0148190840	CU/000231/1920	AAYUV TECHNOLOGIES PRIVATE LIMITED	AAYUV TECHNOLOGIES PRIVATE LIMITED		HYDA16106G		AAMCA9601N														true	false	2022-07-04
652027b3-4e5a-436a-a900-f6eb865eac47	CU/000383/1718	Abante Integrated Management Services Pr	ABANTE INTEGRATED MANAGEMENT SERVICES PRIVATE LIMITED		RTKA10143A		AANCA6219K														true	false	2022-07-04
a1d3a765-e48d-483c-a219-5e8c4ef58533	CU/000045/2021	ABNC PROPERTY MANAGEMENT PVT LTD	ABNC PROPERTY MANAGEMENT PRIVATE LIMITED		DELA53544B		AASCA0497L														true	false	2022-07-04
dd6f1889-24f1-4365-8a03-6ddbdad76551	CU/000027/1415	ABP NETWORK PRIVATE LIMITED	ABP NETWORK PRIVATE LIMITED		MUMM18640G		AADCM0507A														true	false	2022-07-04
4bea5d53-ba29-40e5-acc3-d2751321805e	CU/000247/1819	ABP PVT LTD	ABP PRIVATE LIMITED		CALA00161A		AACCA4609E														true	false	2022-07-04
5e215040-2810-4ef3-9782-1dca2f8cab18	CU/000070/2021	ABRYL LABORATORIES PRIVATE LIMITED	ABRYL LABORATORIES PRIVATE LIMITED		PTLA15823D		AAOCA0926E														true	false	2022-07-04
972cab5b-b60a-4896-9803-b51f9e9b4b4b	CU/000085/2122	ABSOLUTDATA RESEARCH & ANALYTICS SOLUTIO	ABSOLUTDATA RESEARCH & ANALYTICS SOLUTIONS PRIVATE LIMITED		DELA25432B		AAICA0703F							INDIA							true	false	2022-07-04
eec0c5f6-f0fe-4dc9-ae24-2155f856bd5a	CU000505	ACCENTIV INDIA PVT LTD	ACCENTIV INDIA PRIVATE LIMITED		CHEA22023B		AAECS7375K														true	false	2022-07-04
ce52c288-86d4-4678-a89b-8d7dbaab4470	CU/000114/1819	Accenture Operations Services Private Li	ACCENTURE OPERATIONS SERVICES PRIVATE LIMITED		BLRA20893F		AADCC8508P														true	false	2022-07-04
